"Unit","Time","PC1","PC2"
1,1,155.335,260.6
1,2,155.168,260.7
1,3,155.429,260.3
1,4,155.753,260.1
1,5,156.083,259.9
1,6,156.359,259.3
1,7,156.133,259.5
1,8,156.329,259.4
1,9,156.845,259.7
1,10,156.942,259
1,11,156.736,258.8
1,12,156.855,258.6
1,13,157.274,258.6
1,14,157.342,258.1
1,15,157.142,257.9
1,16,157.212,258.1
1,17,157.502,257.9
1,18,157.729,257.7
1,19,157.531,257
1,20,157.565,256.7
1,21,157.295,256.8
1,22,157.693,256.3
1,23,157.345,256.2
1,24,157.524,256.5
1,25,157.276,256
1,26,157.275,255.5
1,27,157.574,255.4
1,28,157.874,255.2
1,29,157.71,255
1,30,158.068,254
2,1,155.846,260.2
2,2,155.621,259.6
2,3,155.809,259.9
2,4,155.982,259.8
2,5,156.117,260.1
2,6,156.516,259.5
2,7,156.166,259.3
2,8,156.989,259.2
2,9,157.051,259
2,10,157.37,258.9
2,11,157.815,258.6
2,12,157.895,258.7
2,13,158.054,258.4
2,14,157.768,258.6
2,15,158.503,257.8
2,16,158.58,257.6
2,17,158.674,257.4
2,18,158.612,257.3
2,19,158.852,257.1
2,20,158.632,256.8
2,21,158.454,256.6
2,22,158.639,256
2,23,158.941,256
2,24,158.818,255.6
2,25,158.725,255.4
2,26,159.102,255.2
2,27,159.392,255
2,28,159.365,254.7
2,29,159.593,254.1
2,30,159.716,254
3,1,156.292,261.1
3,2,155.879,260.9
3,3,155.957,260.7
3,4,155.644,261
3,5,156.225,260.8
3,6,156.775,260.1
3,7,156.822,260.4
3,8,156.706,259.8
3,9,156.876,259.6
3,10,157.267,259.4
3,11,157.371,258.7
3,12,157.564,259
3,13,157.041,259.1
3,14,157.639,258.6
3,15,157.781,258.3
3,16,158.131,257.6
3,17,157.781,257.9
3,18,158.078,257.9
3,19,158.285,257.5
3,20,158.45,256.8
3,21,157.863,256.6
3,22,158.395,256.7
3,23,158.844,256.7
3,24,159.106,256.3
3,25,159.286,256.2
3,26,159.163,255.8
3,27,159.335,255.8
3,28,159.199,255.3
3,29,159.022,255
3,30,159.565,254.9
4,1,156.508,260.3
4,2,157.004,260.5
4,3,156.752,259.7
4,4,157.211,259.3
4,5,157.895,258.8
4,6,158.143,257.6
4,7,158.119,258.1
4,8,158.3,257.9
4,9,159.292,258.5
4,10,159.322,257.1
4,11,159.128,256.7
4,12,159.111,256.3
4,13,159.521,256.2
4,14,160.114,255.3
4,15,159.723,254.8
4,16,159.914,255.2
4,17,160.524,254.9
4,18,160.727,254.5
4,19,160.537,253.1
4,20,160.518,252.5
4,21,160.098,252.6
4,22,159.76,251.7
4,23,160.525,251.5
4,24,160.368,252
4,25,160.888,251
4,26,161.231,250.1
4,27,160.934,249.8
4,28,161.08,249.5
4,29,161.718,249.1
4,30,161.907,247.1
5,1,156.049,260.7
5,2,156.228,259.4
5,3,156.033,260.1
5,4,156.209,259.8
5,5,156.615,260.4
5,6,157.217,259.2
5,7,157.431,258.9
5,8,158.217,258.7
5,9,157.627,258.2
5,10,158.799,258
5,11,159.616,257.5
5,12,159.611,257.6
5,13,160.004,257.1
5,14,160.625,257.5
5,15,161.023,255.8
5,16,160.82,255.5
5,17,161.006,255.1
5,18,161.159,254.8
5,19,161.642,254.4
5,20,161.066,253.9
5,21,160.82,253.4
5,22,161.017,252.3
5,23,161.602,252.2
5,24,161.617,251.5
5,25,161.411,251.1
5,26,162.01,250.6
5,27,162.408,250.3
5,28,162.214,249.7
5,29,162.6,248.4
5,30,163.029,248.3
6,1,156.525,259.8
6,2,155.919,259.4
6,3,156.119,258.9
6,4,156.712,259.6
6,5,156.33,259.1
6,6,157.318,257.8
6,7,157.712,258.3
6,8,157.333,257.2
6,9,157.717,256.7
6,10,158.714,256.3
6,11,158.317,255
6,12,158.711,255.5
6,13,159.308,255.8
6,14,158.945,254.8
6,15,159.136,254.2
6,16,159.323,252.8
6,17,159.307,253.4
6,18,159.711,253.3
6,19,160.061,252.5
6,20,160.397,251.2
6,21,159.473,250.7
6,22,160.27,250.9
6,23,161.105,250.9
6,24,161.642,250.1
6,25,161.902,250
6,26,161.702,249.2
6,27,162.074,249.1
6,28,162.677,248.1
6,29,162.371,247.6
6,30,162.284,247.3
7,1,156.021,260.4
7,2,156.574,259.4
7,3,156.027,259.2
7,4,156.837,258.1
7,5,157.837,257.2
7,6,158.866,256.7
7,7,158.822,256.2
7,8,160.483,256.4
7,9,159.789,254.7
7,10,159.823,254.5
7,11,161.692,253.7
7,12,160.28,253.8
7,13,161.521,252.8
7,14,160.115,251.6
7,15,161.099,250.7
7,16,162.768,250.4
7,17,161.37,248.9
7,18,161.633,249.1
7,19,161.38,248.2
7,20,161.348,247.9
7,21,162.161,247.2
7,22,162.429,246.2
7,23,163.081,245.9
7,24,163.983,244.5
7,25,163.995,244.1
7,26,164.785,244.4
7,27,165.671,243.7
7,28,164.252,242.1
7,29,164.53,241.6
7,30,166.371,240.5
8,1,155.998,260.2
8,2,158.368,259.6
8,3,158.121,260.1
8,4,158.381,258.4
8,5,158.881,257.8
8,6,159.754,257.4
8,7,159.307,256.8
8,8,159.056,255.7
8,9,160.322,255
8,10,161.765,255.4
8,11,162.71,253.5
8,12,162.7,253
8,13,163.287,252.9
8,14,164.048,251.7
8,15,161.804,250.8
8,16,164.353,250.4
8,17,164.617,249.1
8,18,164.818,247.6
8,19,165.378,247.8
8,20,164.531,247.1
8,21,164.15,245.8
8,22,164.404,245
8,23,165.29,244.5
8,24,165.279,244.6
8,25,165.061,243.1
8,26,165.742,241.9
8,27,166.244,241.3
8,28,165.976,241
8,29,166.536,240
8,30,167.147,238.8
9,1,158.027,260.1
9,2,157.996,259.9
9,3,157.558,259.7
9,4,157.499,258.1
9,5,158.488,258.5
9,6,158.189,256.6
9,7,159.447,255.8
9,8,158.946,255.3
9,9,159.386,254.3
9,10,159.966,252.8
9,11,160.489,253.7
9,12,159.897,253.2
9,13,160.77,252.4
9,14,160.29,252.5
9,15,160.586,250.8
9,16,162.229,250.1
9,17,162.27,249.5
9,18,162.159,249.7
9,19,161.979,248.1
9,20,163.199,247.4
9,21,162.919,246.7
9,22,162.703,245.8
9,23,163.828,245.9
9,24,164.662,245.5
9,25,166.39,244.9
9,26,165.435,245
9,27,165.964,243.8
9,28,166.902,244.1
9,29,166.625,243.4
9,30,167.116,242.5
